ID;title;author_ID;descr;stock;price;currency_code;BusinessValidFrom;BusinessValidTo;publisher_ID
201;Wuthering Heights;101;"Wuthering Heights, Emily Brontë's only novel, was published in 1847 under the pseudonym ""Ellis Bell"". It was written between October 1845 and June 1846. Wuthering Heights and Anne Brontë's Agnes Grey were accepted by publisher Thomas Newby before the success of their sister Charlotte's novel Jane Eyre. After Emily's death, Charlotte edited the manuscript of Wuthering Heights and arranged for the edited version to be published as a posthumous second edition in 1850.";12;11.11;GBP;2000-01-01;9999-01-01;1
207;Jane Eyre;107;"Jane Eyre /ɛər/ (originally published as Jane Eyre: An Autobiography) is a novel by English writer Charlotte Brontë, published under the pen name ""Currer Bell"", on 16 October 1847, by Smith, Elder & Co. of London. The first American edition was published the following year by Harper & Brothers of New York. Primarily a bildungsroman, Jane Eyre follows the experiences of its eponymous heroine, including her growth to adulthood and her love for Mr. Rochester, the brooding master of Thornfield Hall. The novel revolutionised prose fiction in that the focus on Jane's moral and spiritual development is told through an intimate, first-person narrative, where actions and events are coloured by a psychological intensity. The book contains elements of social criticism, with a strong sense of Christian morality at its core and is considered by many to be ahead of its time because of Jane's individualistic character and how the novel approaches the topics of class, sexuality, religion and feminism.";11;12.34;GBP;2000-01-01;9999-01-01;1
251;The Raven;150;"“The Raven"" is a narrative poem by American writer Edgar Allan Poe. First published in January 1845, the poem is often noted for its musicality, stylized language, and supernatural atmosphere. It tells of a talking raven's mysterious visit to a distraught lover, tracing the man's slow fall into madness. The lover, often identified as being a student, is lamenting the loss of his love, Lenore. Sitting on a bust of Pallas, the raven seems to further distress the protagonist with its constant repetition of the word ""Nevermore"". The poem makes use of folk, mythological, religious, and classical references.";333;13.13;USD;2000-01-01;9999-01-01;2
252;Eleonora;150;"""Eleonora"" is a short story by Edgar Allan Poe, first published in 1842 in Philadelphia in the literary annual The Gift. It is often regarded as somewhat autobiographical and has a relatively ""happy"" ending.";555;14;USD;2000-01-01;9999-01-01;2
271;Catweazle;170;Catweazle is a British fantasy television series, starring Geoffrey Bayldon in the title role, and created by Richard Carpenter for London Weekend Television. The first series, produced and directed by Quentin Lawrence, was screened in the UK on ITV in 1970. The second series, directed by David Reid and David Lane, was shown in 1971. Each series had thirteen episodes, most but not all written by Carpenter, who also published two books based on the scripts.;22;15;EUR;2000-01-01;9999-01-01;1
1;Moby Dick;1;Stephenie Meyer;5;188;JPY;2000-01-01;9999-01-01;2
2;Vanity Fair;2;Rachel Hollis;0;1065;JPY;2000-01-01;9999-01-01;2
3;Vanity Fair;3;Dr. Seuss;6;1097.10;EUR;2000-01-01;9999-01-01;2
4;One Hundred Years of Solitude;4;Stephen King;4;31.35;EUR;2000-01-01;9999-01-01;2
5;Oedipus;5;Stephen King;4;73.84;EUR;2000-01-01;9999-01-01;2
6;Madame Bovary;6;Henry James;0;9.35;EUR;2000-01-01;9999-01-01;1
7;In Search of Lost Time;7;Danielle Steel;5;67.58;EUR;2000-01-01;9999-01-01;1
8;Madame Bovary;8;Herman Melville;3;25.20;EUR;2000-01-01;9999-01-01;1
9;Gulliver's Travels;9;Cormac McCarthy;1;82.26;EUR;2000-01-01;9999-01-01;1
10;Gargantua and Pantagruel;10;Guillaume Musso;5;38.99;EUR;2000-01-01;9999-01-01;1
11;Madame Bovary;11;Walt Whitman;8;98.97;EUR;2000-01-01;9999-01-01;1
12;One Thousand and One Nights;12;Alexander Pushkin;1;53.78;EUR;2000-01-01;9999-01-01;1
13;Nineteen Eighty Four;13;Carlos Ruiz Zafon;4;62.41;EUR;2000-01-01;9999-01-01;1
14;Oedipus;14;Danielle Steel;2;75.74;EUR;2000-01-01;9999-01-01;1
15;The Scarlet Letter;15;Doris Lessing;4;87.19;EUR;2000-01-01;9999-01-01;1
16;The Divine Comedy;16;Edgar Allan Poe;6;89.27;EUR;2000-01-01;9999-01-01;1
17;Game of Thrones;17;Henry James;5;90.39;EUR;2000-01-01;9999-01-01;1
18;Gone With the Wind;18;William Faulkner;1;66.40;EUR;2000-01-01;9999-01-01;1
19;Invisible Man;19;Cormac McCarthy;0;79.68;EUR;2000-01-01;9999-01-01;1
20;Les Misérables;20;Danielle Steel;3;78.98;EUR;2000-01-01;9999-01-01;1
21;Hamlet;21;John Steinbeck;2;6.44;EUR;2000-01-01;9999-01-01;1
22;The Handmaid's Tale;22;Alexander Pushkin;0;71.30;EUR;2000-01-01;9999-01-01;1
23;The Good Soldier;23;Nathaniel Hawthorne;0;87.19;EUR;2000-01-01;9999-01-01;1
24;Vanity Fair;24;William Shakespeare;8;57.21;EUR;2000-01-01;9999-01-01;1
25;The Great Gatsby;25;Tennessee Williams;3;30.68;EUR;2000-01-01;9999-01-01;1
26;One Thousand and One Nights;26;Tennessee Williams;2;84.75;EUR;2000-01-01;9999-01-01;1
27;The Old Man and the Sea;27;Jane Austen;5;79.94;EUR;2000-01-01;9999-01-01;1
28;Hamlet;28;Herman Melville;8;89.33;EUR;2000-01-01;9999-01-01;1
29;The Odyssey;29;Bella Forrest;5;92.32;EUR;2000-01-01;9999-01-01;1
30; Oedipus at Colonus;30;Edgar Allan Poe;5;72.73;EUR;2000-01-01;9999-01-01;1
31;Lolita;31;Guillaume Musso;3;14.64;EUR;2000-01-01;9999-01-01;1
32;Oedipus;32;F. Scott Fitzgerald;7;42.21;EUR;2000-01-01;9999-01-01;1
33;The Flowers of Evil;33;Agatha Christie;8;42.65;EUR;2000-01-01;9999-01-01;1
34;Gargantua and Pantagruel;34;C.S. Lewis;0;65.19;EUR;2000-01-01;9999-01-01;1
35;One Hundred Years of Solitude;35;Nathaniel Hawthorne;0;81.58;EUR;2000-01-01;9999-01-01;1
36;Alice Adventures in Wonderland;36;Doris Lessing;2;5.02;EUR;2000-01-01;9999-01-01;1
37;Lolita;37;Barbara Cartland;4;1.35;EUR;2000-01-01;9999-01-01;1
38;Invisible Man;38;Henry James;8;36.08;EUR;2000-01-01;9999-01-01;1
39;The Metamorphosis;39;Alexander Pushkin;2;64.38;EUR;2000-01-01;9999-01-01;1
40;To the Lighthouse;40;John Steinbeck;7;12.27;EUR;2000-01-01;9999-01-01;1
41;To the Lighthouse;41;William Shakespeare;1;98.63;EUR;2000-01-01;9999-01-01;1
42;Gulliver's Travels;42;Agatha Christie;2;83.38;EUR;2000-01-01;9999-01-01;1
43;The Lord of The Rings;43;Ray Bradbury;1;51.72;EUR;2000-01-01;9999-01-01;1
44;Lolita;44;Robert Frost;8;77.72;EUR;2000-01-01;9999-01-01;1
45;Vanity Fair;45;Nathaniel Hawthorne;3;65.94;EUR;2000-01-01;9999-01-01;1
46;Tess of the d'Urbervilles;46;Ralph Waldo Emerson;6;70.74;EUR;2000-01-01;9999-01-01;1
47;Pride and Prejudice;47;William Faulkner;7;98.88;EUR;2000-01-01;9999-01-01;1
48;The Flowers of Evil;48;Jane Austen;5;77.08;EUR;2000-01-01;9999-01-01;1
49;Alice Adventures in Wonderland;49;Edgar Allan Poe;2;96.95;EUR;2000-01-01;9999-01-01;1
50;Game of Thrones;50;Jane Austen;4;74.39;EUR;2000-01-01;9999-01-01;1
51;Paradise Lost;51;Ernest Hemingway;3;39.83;EUR;2000-01-01;9999-01-01;1
52;The Flowers of Evil;52;Jin Yong;2;63.94;EUR;2000-01-01;9999-01-01;1
53;Lord of the Flies;53;Emily Dickinson;2;77.53;EUR;2000-01-01;9999-01-01;1
54;David Copperfield;54;Stephen King;3;22.17;EUR;2000-01-01;9999-01-01;1
55;The Brothers Karamazov ;55;Rachel Hollis;7;50.47;EUR;2000-01-01;9999-01-01;1
56;Tristram Shandy;56;Alexandre Dumas;3;36.43;EUR;2000-01-01;9999-01-01;1
57;Alice Adventures in Wonderland;57;Franz Kafka;0;31.31;EUR;2000-01-01;9999-01-01;1
